class,tweet
0,night niggers
0,“[MENTION]: like why tf is this bitch following me ?”[EMOJI]
0,"""i am a thrill billy..with a hillbilly heart."" -[MENTION]. hahahahaha jesus murphy!"
0,rt [MENTION]: dodging these hoes like [URL]
0,[MENTION] nigglet send me the pictures
0,"rt [MENTION]: when eminem said ""call me a faggot, cause i hate a pussy"" [URL]"
0,yo if you get like over 25 of flappy bird you need to do some self evaluation because you probably have no life
0,rt [MENTION]: early bird catches the worm people
0,[MENTION] hahahh thank you fag boy! [HASH]
0,gettin drop top dat hoe
0,my bitch ass buddy pmo
0,"[MENTION] [MENTION] yeah sorry monkey team just keeps kicking ppl, waiting for muh pizza"
0,that nigguh will never play football again
0,rt [MENTION]: hope you got what you wanted bitch.
0,"ayy yo [MENTION] my nigga [MENTION] be all up on da,pussy not lettin dat muafucka breathe."
0,rt [MENTION]: jordan wearing bitches need to grow tf up
0,[EMOJI]rt [MENTION]: onea yall b!tches gon end up dead over a screen shot thinkn that sh!t funny...aint too many niccas gon laugh at that b!
0,rt [MENTION]: i cant never keep no bitch cause i put them hoze out
0,rt [MENTION]: i just realised my library books are overdue if anyones looking for a bad bitch
0,thoughts of her were good from sight and the worst when she opened her mouth.moral of the story is they look sweet but these hoes sour bruh.
0,"brutus looking girl getting off the elevator as im walking into a different one... no bitch u cant come in, u cant u cant come in."
1,bumped into a bitch that filed for sexual harassment at work against a co-worker...i aint been so shook in my life
0,rt [MENTION]: i wish they made a hoe fax . id be like show me the hoe fax before dateing a girl .
0,"guys, i just walked into an office, and the secretary has a bird. looks like i may just find out for myself. [URL]"
0,yea buddy rt [MENTION]: a lot of nba trash talk going on
0,“[MENTION]: shout out to my momma cuz she didnt raise no hoe! [EMOJI][EMOJI][EMOJI]”
0,"rt [MENTION]: i am a california state assemblywoman, but remain a proud [MENTION] [HASH] -- celebrating [HASH] weekend ho…"
0,if you ask me every bitch gay
0,[MENTION] wtf r u talking about i was in plano tx what r u talking about pussy boy
0,"[MENTION] hey [HASH] the [HASH] thing is a joke. 13 benghazis under bush, no hearings. more on benghazi than real 9-11 attack"
0,rt [MENTION]: schools a bitch
0,[MENTION] man bring yo bitch ass here ion give a dam bout yo mf attitude
1,"not all straight men - i am frustrated. unlike on okcupid, queer folks don’t have the ability to block... [URL]"
0,rt [MENTION]: niggas talk more than bitches these days......
0,[MENTION] one thing about it baby i will never call a bitch phone bout a nigga. ion know what app somebody playing with but it aint me
0,"rt [MENTION]: if your tweets have never offended anyone, then you tweet like a little bitch."
0,“[MENTION]: [MENTION] [MENTION] it aint bundles soooo nope”it is bitch she happy hosting
0,i wish i was lesbian so i wouldnt have to deal with bitch boys but mostly bc girls are rlly hot
0,[MENTION] you teabagger dunces want to eliminate education all together so you can groom more teabag voters. lol.[HASH]
0,[MENTION] basically were mad at them for being hoes
0,rt [MENTION]: i wish it was appropriate to go around slapping bitches when they say stupid shit
1,[MENTION] your 2. and 3. nigga them hoes suck wayans brothers are not funny at all jamie foxx should be number 2
0,these bum ass bitches on my block drawin[EMOJI]
0,[MENTION] bitch ass
0,1 baby momma no bitch no wife like pac u need a thug in ya life
0,[MENTION] ok chill love bird lol
0,tcby with these hoes [EMOJI] || [MENTION] [MENTION] [URL]
0,whos ready for nigger spam?
0,"[MENTION] i argue that cersei is neither evil nor a bitch. shes greedy, desperate to protect her children and to be valued in a world"
0,"niggas be like when they see they side bitch cashin another nigga ""[MENTION]: hello mutha fucka......."""
0,rt [MENTION]: “[MENTION]: this bitch possessed by the thot demon. [URL]
0,white people always gave yellow ass teeth
0,be my backbone every nicca need a spine
0,rt [MENTION]: 7 out of 10 rt [MENTION]: every bitch in houston look good ?
0,"niggas be pressed for pussy, it aint nothing.."
0,i really hate when i dont get a response back to a text message. like a bitch aint see it or sum [EMOJI]
0,rt [MENTION]: you gotta be straight forward with hoes ... tell them what you want from jump ...
0,these pussy ass niggas aint bout that life
0,if i were to die and be resurrected as an animal id be a howler monkey
1,she got every niggah lookin like dam
1,"bitch ass nigga, be hating on black women... uncle tom bitch punk."
0,had to touch a yung nicca up real quicc last nite [EMOJI][EMOJI]
0,"rt [MENTION]: bitches name they make up off of instagram filters cuh this bitch was lookin like ""rise"" the other day"
0,im beginning to thincc my brother is defiantly into fat mexican bitches....? eugh [EMOJI]
0,[MENTION] hey bitch boy [HASH]
0," see i gotta get this money ma palms itchin , niggahs gossip like hoes most of them bitches ."
0,rt [MENTION]: hello [MENTION] you are now official big time pussy
0,rt [MENTION]: if youre not a little bitch [URL]
